## Sky Sources names
#
# Stellarium Web Engine - Copyright (c) 2022 - Stellarium Labs SRL
#
# This program is licensed under the terms of the GNU AGPL v3, or
# alternatively under a commercial license.
#
# The terms of the AGPL v3 license can be found in the main directory of this
# repository.
#
# List of all known sky source names, excluding the ones related
# to a specific sky culture. I.e. this is the international names,
# spelled in english. Translations in other languages is done in
# separate documents.
#
# Each line link a common name to its main object ID.
# The format is a list of values separated by a |
# When an object has several names, they are listed each on a separated line
# by order of importance
#
# References for the names are listed in the sources column. Details for all
# references can be found in the common_names_refs.tab
##
### planet ###
# id            |english   |wikipedia_title  |model  |sources|notes                      |
# ------------- | -------- | --------------- | ----- | ----- | ------------------------- |
JPL 801         |Triton    |Triton_(moon)    |planet|WP     |Moon of Neptune (NI)
JPL 802         |Nereid    |Nereid_(moon)    |planet|WP     |Moon of Neptune (NII)
JPL 803         |Naiad     |Naiad_(moon)     |planet|WP     |Moon of Neptune (NIII)
JPL 804         |Thalassa  |Thalassa_(moon)  |planet|WP     |Moon of Neptune (NIV)
JPL 805         |Despina   |Despina_(moon)   |planet|WP     |Moon of Neptune (NV)
JPL 806         |Galatea   |Galatea_(moon)   |planet|WP     |Moon of Neptune (NVI)
JPL 807         |Larissa   |Larissa_(moon)   |planet|WP     |Moon of Neptune (NVII)
JPL 808         |Proteus   |Proteus_(moon)   |planet|WP     |Moon of Neptune (NVIII)
JPL 809         |Halimede  |Halimede_(moon)  |planet|WP     |Moon of Neptune (NIX)
JPL 810         |Psamathe  |Psamathe_(moon)  |planet|WP     |Moon of Neptune (NX)
JPL 811         |Sao       |Sao_(moon)       |planet|WP     |Moon of Neptune (NXI)
JPL 812         |Laomedeia |Laomedeia_(moon) |planet|WP     |Moon of Neptune (NXII)
JPL 813         |Neso      |Neso_(moon)      |planet|WP     |Moon of Neptune (NXIII)
JPL 899         |Neptune   |Neptune          |planet|WP     |
JPL 901         |Charon    |Charon_(moon)    |planet|WP     |Moon of Pluto (PI)
JPL 902         |Nix       |Nix_(moon)       |planet|WP     |Moon of Pluto (PII)
JPL 903         |Hydra     |Hydra_(moon)     |planet|WP     |Moon of Pluto (PIII)
JPL 904         |Kerberos  |Kerberos_(moon)  |planet|WP     |Moon of Pluto (PIV)
JPL 905         |Styx      |Styx_(moon)      |planet|WP     |Moon of Pluto (PV)
JPL 999         |Pluto     |134340_Pluto     |planet|WP     |Dwarf planet (134340) Pluto
#
### tle_satellite ###
# id            |english                      |wikipedia_title                    |model        |sources|notes                                   |
# ------------- | --------------------------- | --------------------------------- | ----------- | ----- | -------------------------------------- |
NORAD 25544     |International Space Station  |International_Space_Station        |tle_satellite|WK     |
NORAD 20580     |Hubble Space Telescope       |Hubble_Space_Telescope             |tle_satellite|WK     |
#
#
### constellation ###
# id            |english            |wikipedia_title                    |model        |sources|notes                                   |
# ------------- | ----------------- | --------------------------------- | ----------- | ----- | -------------------------------------- |
CON western And |Andromeda          |Andromeda_(constellation)          |constellation|WK     |Constellation in the western sky culture
CON western Ant |Antlia             |Antlia_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Aps |Apus               |Apus_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Aql |Aquila             |Aquila_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Aqr |Aquarius           |Aquarius_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western Ara |Ara                |Ara_(constellation)                |constellation|WK     |Constellation in the western sky culture
CON western Ari |Aries              |Aries_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Aur |Auriga             |Auriga_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Boo |Bootes             |Bootes_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western CMa |Canis Major        |Canis Major_(constellation)        |constellation|WK     |Constellation in the western sky culture
CON western CMi |Canis Minor        |Canis Minor_(constellation)        |constellation|WK     |Constellation in the western sky culture
CON western Cae |Caelum             |Caelum_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Cam |Camelopardalis     |Camelopardalis_(constellation)     |constellation|WK     |Constellation in the western sky culture
CON western Cap |Capricornus        |Capricornus_(constellation)        |constellation|WK     |Constellation in the western sky culture
CON western Car |Carina             |Carina_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Cas |Cassiopeia         |Cassiopeia_(constellation)         |constellation|WK     |Constellation in the western sky culture
CON western Cen |Centaurus          |Centaurus_(constellation)          |constellation|WK     |Constellation in the western sky culture
CON western Cep |Cepheus            |Cepheus_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Cet |Cetus              |Cetus_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Cha |Chamaeleon         |Chamaeleon_(constellation)         |constellation|WK     |Constellation in the western sky culture
CON western Cir |Circinus           |Circinus_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western Cnc |Cancer             |Cancer_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Col |Columba            |Columba_(constellation)            |constellation|WK     |Constellation in the western sky culture
CON western Com |Coma Berenices     |Coma Berenices_(constellation)     |constellation|WK     |Constellation in the western sky culture
CON western CrA |Corona Australis   |Corona Australis_(constellation)   |constellation|WK     |Constellation in the western sky culture
CON western CrB |Corona Borealis    |Corona Borealis_(constellation)    |constellation|WK     |Constellation in the western sky culture
CON western Crt |Crater             |Crater_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Cru |Crux               |Crux_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Crv |Corvus             |Corvus_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western CVn |Canes Venatici     |Canes Venatici_(constellation)     |constellation|WK     |Constellation in the western sky culture
CON western Cyg |Cygnus             |Cygnus_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Del |Delphinus          |Delphinus_(constellation)          |constellation|WK     |Constellation in the western sky culture
CON western Dor |Dorado             |Dorado_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Dra |Draco              |Draco_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Equ |Equuleus           |Equuleus_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western Eri |Eridanus           |Eridanus_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western For |Fornax             |Fornax_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Gem |Gemini             |Gemini_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Gru |Grus               |Grus_(constellation)               |constellation|WK     |Constellation in the western sky culture
CON western Her |Hercules           |Hercules_(constellation)           |constellation|WK     |Constellation in the western sky culture
CON western Hor |Horologium         |Horologium_(constellation)         |constellation|WK     |Constellation in the western sky culture
CON western Hya |Hydra              |Hydra_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western Hyi |Hydrus             |Hydrus_(constellation)             |constellation|WK     |Constellation in the western sky culture
CON western Ind |Indus              |Indus_(constellation)              |constellation|WK     |Constellation in the western sky culture
CON western LMi |Leo Minor          |Leo Minor_(constellation)          |constellation|WK     |Constellation in the western sky culture
